episode,frames,left_err_mean,left_err_max,left_soft_frames,left_hard_frames,left_contact_frames,left_max_penetration_mm,right_err_mean,right_err_max,right_soft_frames,right_hard_frames,right_contact_frames,right_max_penetration_mm
19,238,0.07100196372215806,0.4929006021847835,146,50,0,0.0,0.06286608641725763,0.5820237567795941,137,42,0,0.0
20,242,0.07750328452081688,0.6108466639904999,158,53,0,0.0,0.06331721153878409,0.48457702527696944,120,15,0,0.0
21,217,0.07796314237458328,0.5415598860294433,132,47,0,0.0,0.07285515036525012,0.45337586996373713,158,25,0,0.0
22,225,0.07253219097716072,0.5109943181255898,147,56,0,0.0,0.06941104908276041,0.5444324708748455,137,27,0,0.0
23,243,0.06772374734468584,0.5172006935551525,139,49,0,0.0,0.06686720297190797,0.5287195343742814,142,34,0,0.0
24,238,0.06577679893837024,0.5020951637194093,148,37,0,0.0,0.07384647138742922,0.5457205758641457,140,37,0,0.0
25,217,0.051905321052553015,0.5638439884927424,82,24,0,0.0,0.06389963734258483,0.6063668983209884,98,22,0,0.0
26,240,0.06958364125651612,0.5879892128012475,139,66,0,0.0,0.06734577269646101,0.6887833690876264,134,42,0,0.0
27,233,0.07960448055686326,0.5607147917822295,150,43,0,0.0,0.06392196274621399,0.6123764867337484,113,34,0,0.0
28,228,0.07640384897210023,0.5244752500760889,135,58,0,0.0,0.08059433685918643,0.6146924349061966,151,38,0,0.0
29,222,0.06802566741224775,0.5068359993986029,136,41,0,0.0,0.06859229543010595,0.5237732291539638,128,32,0,0.0
30,241,0.07797346606111843,0.5446647427158553,173,60,2,0.02,0.07975115199564033,0.49168520165575014,175,38,0,0.0
31,220,0.06739269159868001,0.5416873679266916,112,44,0,0.0,0.07639226966464478,0.45236922777632166,159,45,0,0.0
32,238,0.071459351745409,0.6241297780129997,122,42,0,0.0,0.06889163666364746,0.5245394932660452,153,33,0,0.0
33,224,0.056006239563687554,0.5090269142545336,82,31,0,0.0,0.060792189814773225,0.5503585807704922,101,32,0,0.0
34,239,0.07740310871457375,0.6167853504213467,161,40,0,0.0,0.07176852719275888,0.6387755529704967,147,30,0,0.0
35,233,0.07432701008623886,0.5591898602460622,135,54,0,0.0,0.06563092784665944,0.6206702226662444,127,38,0,0.0
36,265,0.076817743802044,0.6533493456693276,167,76,0,0.0,0.08148218792851643,0.5957273970566953,173,57,0,0.0
37,221,0.06077277137499483,0.5665984073424772,105,29,0,0.0,0.06606898134157552,0.5894269269903379,105,27,0,0.0
38,257,0.10259984571464717,0.6104896777817396,179,70,0,0.0,0.10551843224899819,0.7210071806361253,186,86,0,0.0
39,212,0.09595391061182418,0.732426756514363,150,46,0,0.0,0.11936419962675877,0.7824438634761989,163,92,0,0.0
40,197,0.10110647054586192,0.8775430106738533,138,61,1,0.03,0.12433476117758065,0.7962932996663871,168,94,0,0.0
41,232,0.0986555574475466,0.7755276365065962,156,70,5,0.02,0.11214122806862854,0.7926510977005288,173,102,0,0.0
42,218,0.10718608791550183,0.6696644927185184,143,67,9,0.08,0.11406703932785647,0.7506006079128318,170,84,0,0.0
43,214,0.09346109097677947,0.7053123681521616,128,64,10,0.01,0.1167610175948868,0.7240170638193975,172,84,0,0.0
44,213,0.10480834664684155,0.7087643478582267,157,69,0,0.0,0.10978412906384344,0.8007331934464759,175,83,0,0.0
45,221,0.09272967063116973,0.6517749754084158,118,65,6,0.04,0.10420511242243888,0.83727276252175,161,66,0,0.0
46,205,0.08421347083369851,0.8861698396566586,113,50,21,0.14,0.11045133982008976,0.7888182110390749,162,81,0,0.0
47,211,0.09637726494334221,0.7037746314739695,130,65,0,0.0,0.10932977458371203,0.784727291217647,162,84,0,0.0
48,207,0.08574223491103977,0.7972914950831128,113,54,0,0.0,0.116594668117946,0.8354490720762405,165,82,0,0.0
49,209,0.10553191611821172,0.720922572512829,148,69,0,0.0,0.12267143688164452,0.6587652008793867,165,101,0,0.0
50,213,0.08924513509882084,0.6936731737396952,122,57,17,0.07,0.11303938534729362,0.76812936329128,160,94,0,0.0
