episode,left_vel_viol_frames,left_freeze_jump_frames,left_max_vel_frac,right_vel_viol_frames,right_freeze_jump_frames,right_max_vel_frac,frames
399,15,0,1.9424574570988289,13,0,2.1829104765096847,223
400,14,0,2.0235911504131563,6,0,1.8364182652580021,205
401,10,0,2.119126044348978,13,0,1.6150870614657544,221
402,12,0,2.040514076109033,18,0,2.061203054393488,216
403,10,0,2.2831913689373784,12,0,1.8904049753328236,247
404,15,0,1.8595719451321344,8,0,1.7860309556197755,262
405,11,0,1.7238864402260912,12,0,1.836582919115113,244
406,11,0,1.8422446710901705,12,0,1.924667202413025,242
407,8,0,1.661121995537875,10,0,2.1886299856526574,230
408,13,0,1.714072323118718,8,0,1.7103001439206158,214
409,12,0,2.1809763257118666,13,0,2.06026243503137,233
410,8,0,1.776787430873459,9,0,1.9450285191066854,208
411,13,0,1.625643377659314,14,0,2.071567028049298,211
412,9,0,1.6332230321998924,13,0,2.1200348449641453,249
413,16,0,2.7087200963166973,10,0,2.1648912341000357,275
414,9,0,2.0066717998573864,10,0,1.604656947717967,243
415,7,0,1.7062963933862723,16,0,1.4542906458272213,241
416,10,0,1.7375238121637528,14,0,1.943827272030777,238
417,12,0,2.281779546109175,14,0,2.213466841489105,237
418,4,0,1.876522399406834,8,0,1.5895780792892151,205
419,6,0,1.9274145188281508,7,0,1.6668611679514362,238
420,8,0,1.8777905016027412,10,0,2.245051195528477,209
421,8,0,1.7225089387429138,6,0,1.7520358421285604,213
422,7,0,2.0862465533281123,7,0,2.0462972227459084,223
423,8,0,1.7866394444659652,7,0,1.6164977670845702,219
424,10,0,2.076132124451762,3,0,1.4823925187731197,241
425,2,0,1.8932930241341577,7,0,1.8912553730302462,252
426,7,0,1.6889398031954324,9,0,1.5048401084761451,291
427,6,0,1.6219574082091295,4,0,1.2756475291028975,256
428,3,0,1.455092391403038,7,0,1.5164414381229432,241
429,6,0,2.105092904401486,8,0,1.7287669056755133,257
430,4,0,1.5941864348869723,4,0,1.4773851775394353,267
431,2,0,1.1927403875385565,6,0,1.8510575702106145,259
432,5,0,1.841088828293619,6,0,1.6657886259193748,243
433,11,0,1.5826072711088368,11,0,1.4284937065219243,240
434,8,0,1.8107920184859572,7,0,2.016615158279623,253
435,5,0,1.8214130447154515,4,0,1.8531116669590175,241
436,8,0,1.8789534946795066,7,0,1.8534820514740895,222
437,8,0,1.7961278663096023,5,0,1.4678856442093928,242
438,7,0,2.0065870690368532,6,0,1.480282828596055,249
